Sample	Homo sapiens	Methanocaldococcus jannaschii	Hydrogenophilus thermoluteolus	Pegivirus C	Phaeodactylum tricornutum	Other	Unclassified	Bacillus subtilis	Allomeiothermus silvanus	Stenotrophomonas maltophilia	Pochonia chlamydosporia	Aspergillus puulaauensis	Thermus sp. NEB1569	Thalassiosira pseudonana
SRR8492719	1099264.0	18205.0	16.0		29.0	866449.0	16037.0							
SRR8492720	1896111.0		4252.0		1488.0	44548.0	53582.0				19.0			
SRR8492721	1757619.0	4057.0	16.0		13.0	227506.0	10789.0							
SRR8492722	1842716.0	2409.0	4.0		27.0	144151.0	10693.0							
SRR8492723	1820587.0	4175.0	8.0		100.0	166405.0	8725.0							
SRR8492724	1313297.0	12874.0	161.0		152.0	659727.0	13789.0							
SRR8492725	1362279.0	12135.0	285.0		295.0	606190.0	18816.0							
SRR8492726	1584044.0	7436.0	165.0		210.0	393498.0	14647.0							
SRR8492727	1860096.0	575.0	509.0		28.0	124721.0	14069.0				2.0			
SRR8492728	1534512.0	7457.0	26.0		26.0	444769.0	13210.0							
SRR8492729	1883486.0	1.0	1171.0		120.0	91432.0	23786.0				4.0			
SRR8492730	1423625.0	11281.0	10.0		26.0	551167.0	13891.0							
SRR8492731	1870035.0	1729.0	51.0		53.0	118478.0	9653.0				1.0			
SRR8492732	1861635.0	1.0	6765.0		110.0	100083.0	31404.0				2.0			
SRR8492733	1928902.0		383.0		211.0	50275.0	20229.0							
SRR8492734	1564659.0	13.0	7336.0		3286.0	414134.0	8685.0		1887.0					
SRR8492735	1891624.0		838.0		682.0	85004.0	21604.0		248.0					
SRR8492736	1905857.0	1.0	836.0		30.0	78416.0	14567.0		293.0					
SRR8492737	1847037.0		1014.0		1330.0	115770.0	34495.0		354.0					
SRR8492738	1883292.0	1.0	1893.0		112.0	97626.0	16426.0		650.0					
SRR8492739	1585450.0	5.0	7697.0		11751.0	245427.0	146481.0		3189.0					
SRR8492740	1835017.0	23.0	2369.0		1036.0	149161.0	11827.0		567.0					
SRR8492741	1886140.0		2719.0		146.0	83306.0	26772.0		917.0					
SRR8492742	1623970.0	5730.0	1180.0		185.0	354127.0	14498.0		310.0					
SRR8492743	1811666.0	1047.0	633.0		25.0	174021.0	12454.0		154.0					
SRR8492744	1936729.0	2.0	1953.0		469.0	25161.0	34838.0		848.0					
SRR8492745	1834080.0	624.0	3434.0		266.0	129450.0	30879.0		1267.0					
SRR8492746	1579827.0		673.0		2488.0	225775.0	190228.0		1009.0					
SRR8492747	1638035.0	74.0	33.0		82.0	353260.0	8507.0		9.0					
SRR8492748	1781929.0	1177.0	3497.0		195.0	170592.0	41306.0		1304.0					
SRR8492749	1677224.0	2183.0	5918.0		279.0	270652.0	41759.0		1985.0					
SRR8492750	1541910.0	1906.0	8963.0		415.0	376758.0	66849.0		3199.0					
SRR8492751	1497172.0	3258.0	9476.0		315.0	422303.0	63964.0		3512.0					
SRR8492752	1599568.0	1748.0	11087.0		1500.0	311013.0	71311.0		3773.0					
SRR8492753	1240340.0	5063.0	14537.0		440.0	640598.0	93127.0		5895.0					
SRR8492754	1598017.0	3282.0	6250.0		430.0	325921.0	63791.0		2309.0					
SRR8492755	1691143.0		5964.0		236.0	242629.0	57681.0		2011.0					336.0
SRR8492756	1815752.0		7700.0		379.0	113461.0	60271.0		2305.0					132.0
SRR8492757	746857.0		37480.0		1412.0	128708.0	141801.0		11294.0					369.0
SRR8492758	1726258.0		8308.0		2185.0	242681.0	17628.0		2222.0					718.0
SRR8492759	1873413.0		4424.0		373.0	59091.0	60819.0		1646.0					234.0
SRR8492760	1920889.0		959.0		102.0	52548.0	25106.0		333.0					63.0
SRR8492761	1914231.0		1655.0		252.0	50654.0	32490.0		548.0					170.0
SRR8492762	1859232.0		2890.0		2855.0	81164.0	52051.0		968.0					840.0
SRR8492763	1900456.0		2012.0		178.0	74014.0	22687.0		613.0					40.0
SRR8492764	1809786.0		1828.0		734.0	170200.0	16741.0		524.0					187.0
SRR8492765	1894984.0		1844.0		902.0	90587.0	11024.0		406.0					253.0
SRR8492766	1790495.0		3121.0		1435.0	188369.0	15511.0		702.0					367.0
SRR8492767	1725367.0		6481.0		4420.0	242883.0	17896.0		1829.0					1124.0
SRR8492768	1784341.0		3228.0		1960.0	189471.0	19568.0		866.0					566.0
SRR8492769	1572677.0		13736.0		7176.0	380449.0	20055.0		4169.0					1738.0
SRR8492770	1845574.0		1149.0		587.0	137327.0	14844.0		362.0					157.0
SRR8492771	1795611.0		2489.0		984.0	188339.0	11679.0		650.0					248.0
SRR8492772	1876810.0		19.0		34.0	104104.0	19021.0		6.0					6.0
SRR8492773	1835403.0		32.0		24.0	86213.0	78313.0		5.0					10.0
SRR8492774	1858793.0		17.0		32.0	113171.0	27973.0		9.0					5.0
SRR8492775	1728513.0		40.0		52.0	258643.0	12714.0		9.0					29.0
SRR8492776	1779211.0	15.0	8.0		36.0	215166.0	5562.0		2.0					
SRR8492777	1701897.0	37.0	26.0		41.0	291610.0	6386.0		3.0					
SRR8492778	1720308.0	10.0	10.0		36.0	274512.0	5123.0		1.0					
SRR8492779	1157289.0	74.0	19075.0		10843.0	788483.0	19041.0		5195.0					
SRR8492780	1323218.0	136.0	10563.0		5752.0	637308.0	20263.0		2760.0					
SRR8492781	1745738.0	746.0	2167.0		1136.0	230886.0	18724.0		603.0					
SRR8492782	1941976.0		67.0		22.0	41899.0	16016.0		20.0					
SRR8492783	1897030.0		383.0		156.0	81561.0	20781.0		89.0					
SRR8492784	1280240.0	11688.0	2548.0		78.0	686561.0	18008.0		877.0					
SRR8492785	1888331.0		1982.0		883.0	88006.0	20153.0		645.0					
SRR8492786	1845620.0		3336.0		1355.0	119238.0	29362.0		1089.0					
SRR8492787	1919950.0		649.0		33.0	59266.0	19897.0		205.0					
SRR8492788	1612899.0	2621.0	614.0		39.0	372389.0	11279.0		159.0					
SRR8492789	1709814.0	1858.0	608.0		40.0	277264.0	10260.0		156.0					
SRR8492790	1641191.0	7910.0	2070.0		163.0	332870.0	15095.0		701.0					
SRR8492791	1697735.0	791.0	7393.0		512.0	240754.0	50289.0		2526.0					
SRR8492792	1747661.0	1472.0	445.0		37.0	237729.0	12550.0		106.0					
SRR8492793	1790249.0	709.0	2751.0		181.0	161627.0	43503.0		980.0					
SRR8492794	1865036.0	593.0	2009.0		112.0	107659.0	23865.0		726.0					
SRR8492795	1461651.0	1840.0	15926.0		3402.0	282074.0	229135.0		5972.0					
SRR8492796	1628088.0	2297.0	12025.0		829.0	265902.0	86526.0		4333.0					
SRR8492797	1763938.0		2951.0		145.0	200811.0	31019.0		1010.0					126.0
SRR8492798	1962053.0		8.0		27.0	20639.0	17261.0		5.0					7.0
SRR8492799	1936981.0		7.0		33.0	50836.0	12128.0		3.0					12.0
SRR8492800	1929618.0		5.0		24.0	61571.0	8773.0							9.0
SRR8492801	1949714.0		17.0		33.0	36126.0	14097.0							13.0
SRR8492802	1310049.0		26293.0		7287.0	632870.0	14097.0		7224.0					2180.0
SRR8492803	1658654.0		2983.0		1690.0	319102.0	16381.0		756.0					434.0
SRR8492804	1782382.0		4166.0		1614.0	197093.0	13146.0		1238.0					361.0
SRR8492805	1806065.0		13673.0		351.0	137107.0	38413.0		4301.0					90.0
SRR8492806	1810881.0		2565.0		1189.0	173518.0	10817.0		710.0					320.0
SRR8492807	1709960.0		2742.0		1120.0	271808.0	13386.0		639.0					345.0
SRR8492808	1801834.0		2765.0		1216.0	175773.0	17353.0		743.0					316.0
SRR8492809	1882074.0		867.0		515.0	99660.0	16431.0		310.0					143.0
SRR8492810	1564712.0		5342.0		2377.0	408457.0	17219.0		1259.0					634.0
SRR8492811	1763707.0		5916.0		3132.0	209616.0	15296.0		1496.0					837.0
SRR8492812	1664727.0		3096.0		1034.0	313718.0	16293.0		878.0					254.0
SRR8492813	1773677.0		4328.0		1637.0	199486.0	19217.0		1243.0					412.0
SRR8492814	1798240.0		6552.0		4444.0	163491.0	24314.0		1733.0					1226.0
SRR8492815	1743985.0		12995.0		8927.0	205422.0	22440.0		3594.0					2637.0
SRR8492816	1806078.0		1811.0		106.0	183610.0	7849.0		467.0					79.0
SRR8492817	1806150.0		1655.0		90.0	182182.0	9411.0		449.0					63.0
SRR8492818	1847646.0	387.0	947.0		48.0	140857.0	9826.0		289.0					
SRR8492819	1856448.0	307.0	1121.0		68.0	131840.0	9921.0		295.0					
SRR8492820	1946022.0	31.0	16.0		18.0	38409.0	15497.0		7.0					
SRR8492821	1955544.0	21.0	14.0		12.0	32356.0	12049.0		4.0					
SRR8492822	1961741.0	6.0	31.0		18.0	30260.0	7935.0		9.0					
SRR8492823	1903902.0	133.0	14.0		24.0	68359.0	27560.0		8.0					
SRR8492824	1854391.0	307.0	1359.0		65.0	135599.0	8005.0		274.0					
SRR8492825	1850368.0	365.0	1179.0		97.0	138476.0	9186.0		329.0					
SRR8492826	1919400.0		2281.0		67.0	57761.0	19705.0		786.0					
SRR8492827	1764639.0	5899.0	11.0		52.0	217681.0	11709.0		9.0					
SRR8502431	1829908.0	262.0	2352.0		671.0	147967.0	18235.0		605.0					
SRR8502432	1830798.0	241.0	2330.0		660.0	147673.0	17671.0		627.0					
SRR8503215	1828823.0	259.0	2434.0		663.0	148827.0	18354.0		640.0					
