Sample	Homo sapiens	Hydrogenophilus thermoluteolus	Phaeodactylum tricornutum	Allomeiothermus silvanus	Hepacivirus C	Other	Unclassified	Thalassiosira pseudonana	Pegivirus C
13001	1623196.0	8117.0	3224.0	1870.0		343414.0	20179.0		
13002	1682571.0	2008.0	577.0	500.0		303074.0	11270.0		
13003	1683781.0	6674.0	2897.0	1743.0		290408.0	14497.0		
13004	1785033.0	4310.0	2350.0	1146.0		188628.0	18463.0		70.0
13005	1790047.0	771.0	607.0	191.0		190526.0	17858.0		
13006	1812775.0	2930.0	451.0	683.0		170816.0	12345.0		
13007	1659621.0	5067.0	2051.0	1560.0		316766.0	14935.0		
13008	1616282.0	1836.0	890.0	526.0		364675.0	15791.0		
13009	1674737.0	10864.0	15638.0	2876.0		267208.0	28677.0		
13010	1771812.0	1939.0	1541.0	511.0		205779.0	18418.0		
13011	1828271.0	2314.0	754.0	569.0		150402.0	17690.0		
13013	1815578.0	2956.0	3598.0	792.0		160549.0	16527.0		
13014	1693929.0	2596.0	1425.0	738.0		287091.0	14221.0		
13015	1798132.0	1821.0	1036.0	517.0		182718.0	15764.0		12.0
13016	1707980.0	3513.0	2387.0	755.0		273117.0	12248.0		
13017	1329343.0	2091.0	1259.0	553.0		655897.0	10857.0		
13018	1840563.0	1476.0	1146.0	447.0		142487.0	13881.0		
13019	1860430.0	1788.0	717.0	507.0		122615.0	13943.0		
13020	1363219.0	7996.0	3302.0	2095.0		604517.0	18871.0		
13021	1652341.0	2634.0	928.0	641.0		329436.0	14020.0		
13022	1861357.0	1102.0	411.0	323.0		121161.0	15646.0		
13023	1791620.0	1267.0	693.0	279.0		188911.0	17230.0		
13024	1881865.0	807.0	328.0	216.0		100187.0	16597.0		
13025	1780965.0	1144.0	646.0	281.0		204374.0	12590.0		
13026	1580203.0	12695.0	6317.0	3367.0		370820.0	26598.0		
13027	1490936.0	8805.0	4717.0	2090.0		468673.0	24779.0		
13028	1670310.0	1863.0	1137.0	532.0		312947.0	13211.0		
13029	1798535.0	2250.0	696.0	636.0		181695.0	16177.0		11.0
13030	1915669.0	1473.0	412.0	345.0		68605.0	13496.0		
13031	1159034.0	2123.0	1185.0	507.0		824840.0	12311.0		
13032	1856486.0	1510.0	895.0	373.0		123069.0	17667.0		
13033	1829518.0	1218.0	690.0	361.0		157368.0	10845.0		
13034	1839612.0	6055.0	1203.0	1490.0		135174.0	16466.0		
13035	1781561.0	5170.0	5067.0	1335.0		189522.0	17345.0		
13036	1469349.0	2428.0	1206.0	591.0		515745.0	10681.0		
13037	1852784.0	5268.0	2786.0	1467.0		120845.0	16850.0		
13039	1830157.0	2084.0	1052.0	652.0		148916.0	17139.0		
13040	1792144.0	2446.0	2733.0	659.0		181885.0	20133.0		
13041	1852366.0	958.0	429.0	302.0		130569.0	15376.0		
13042	1893265.0	1728.0	865.0	509.0		89431.0	14202.0		
13043	1441965.0	3084.0	1889.0	707.0		538983.0	13372.0		
13079	1639001.0	2738.0	1450.0	707.0		341601.0	14503.0		
13086	1745676.0	3017.0	1037.0	714.0		234028.0	15528.0		
13092	1778926.0	1916.0	847.0	430.0		200682.0	17199.0		
13096	1574807.0	5388.0	2462.0	1269.0		398505.0	17569.0		
13103	1570904.0	7256.0	3498.0	1986.0		393978.0	22378.0		
13110	1835017.0	2369.0	1036.0	567.0		149184.0	11827.0		
13120	1625517.0	4904.0	1922.0	1129.0		348027.0	18501.0		
13126	1828823.0	2434.0	663.0	640.0		149086.0	18354.0		
13129	1726258.0	8308.0	2185.0	2222.0		243399.0	17628.0		
13136	1684565.0	2644.0	2827.0	707.0		289111.0	20146.0		
14861	1746375.0	4199.0	161.0	1130.0		239387.0	8748.0		
14862	1749962.0	4023.0	89.0	958.0		235008.0	9960.0		
14863	1820848.0	1650.0	82.0	444.0		166591.0	10385.0		
14864	1844347.0	1919.0	50.0	453.0		143309.0	9922.0		
14865	1742673.0	3876.0	118.0	1070.0		237781.0	14482.0		
14866	1843552.0	2022.0	77.0	523.0		144624.0	9202.0		
14867	1802101.0	2053.0	34.0	515.0		185104.0	10193.0		
14868	1748489.0	1668.0	100.0	392.0		237661.0	11677.0		13.0
14869	1606948.0	2490.0	265.0	529.0		372142.0	17626.0		
14870	1802348.0	1255.0	77.0	276.0		183628.0	12416.0		
14871	1747293.0	2680.0	170.0	701.0		236512.0	12644.0		
14872	1716525.0	2925.0	135.0	674.0		255628.0	24113.0		
14873	1758502.0	2724.0	82.0	750.0		227760.0	10182.0		
14902	1557419.0	5139.0	234.0	1240.0		416861.0	19107.0		
14903	1654477.0	2851.0	185.0	666.0		324898.0	16923.0		
14904	1756875.0	2252.0	73.0	533.0		223293.0	16974.0		
14905	1655178.0	2712.0	128.0	663.0		325390.0	15929.0		
14906	1728985.0	3812.0	116.0	861.0		250528.0	15698.0		
14907	1591977.0	1667.0	200.0	362.0		369252.0	28403.0		8139.0
14908	1761872.0	2205.0	96.0	511.0		219048.0	16268.0		
14909	1707006.0	1346.0	107.0	301.0		281053.0	10187.0		
14910	1605749.0	1427.0	198.0	352.0		378024.0	14250.0		
14911	1621199.0	2748.0	135.0	641.0		359208.0	16069.0		
14913	1656550.0	2114.0	111.0	482.0		325484.0	15259.0		
14914	1747742.0	3640.0	195.0	900.0		238208.0	9315.0		
14915	1634137.0	2702.0	157.0	676.0		280912.0	32855.0		48561.0
14916	1567871.0	7538.0	389.0	1765.0		401277.0	21160.0		
14917	1561316.0	4995.0	179.0	1224.0		411620.0	20665.0		1.0
14918	1670574.0	2973.0	237.0	688.0		308111.0	17417.0		
14919	1695527.0	6656.0	137.0	1742.0		277572.0	18365.0		1.0
14920	1788615.0	2459.0	98.0	563.0		194336.0	13929.0		
14921	1755309.0	2580.0	165.0	598.0		228461.0	12887.0		
2831	1728826.0	1259.0	68.0	386.0		253378.0	16083.0		
