sample_idx_sequencing_batch	sample_name	sample_analysis_run_id	sample_id	sample_display_name	raw_data_id	sequencing_batch	fastq_1	fastq_2	out_dir	resequenced_sample
0	Flomics_1_1	SAMP016_Flomics_1	SAMP016_EXP089_FL089minusA1	SAMP016_EXP089_FL089minusA1	FL-RAW-000005	Flomics_1	s3://flomics-raw-data/FL-SB-00003/5_S5_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SB-00003/5_S5_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
1	Flomics_1_2	SAMP017_Flomics_1	SAMP017_EXP089_FL089minusB1	SAMP017_EXP089_FL089minusB1	FL-RAW-000006	Flomics_1	s3://flomics-raw-data/FL-SB-00003/6_S6_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SB-00003/6_S6_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
2	Flomics_1_3	SAMP008_Flomics_1	SAMP008_EXP094_FL094_C1	SAMP008_EXP094_FL094_C1	FL-RAW-000021	Flomics_1	s3://flomics-raw-data/FL-SB-00005/C1_S9_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SB-00005/C1_S9_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
3	Flomics_1_4	SAMP009_Flomics_1	SAMP009_EXP094_FL094_D1	SAMP009_EXP094_FL094_D1	FL-RAW-000022	Flomics_1	s3://flomics-raw-data/FL-SB-00005/D1_S10_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SB-00005/D1_S10_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
4	Flomics_1_5	SAMP166_Flomics_1	SAMP166_EXP101_S2_Technical_replicate_2	SAMP166_EXP101_S2_Technical_replicate_2	FL-RAW-000182	Flomics_1	s3://flomics-raw-data/FL-SEQB-00007/10_S10_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SEQB-00007/10_S10_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
5	Flomics_1_6	SAMP167_Flomics_1	SAMP167_EXP101_S3_Technical_replicate_3	SAMP167_EXP101_S3_Technical_replicate_3	FL-RAW-000183	Flomics_1	s3://flomics-raw-data/FL-SEQB-00007/11_S11_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SEQB-00007/11_S11_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
6	Flomics_1_7	SAMP168_Flomics_1	SAMP168_EXP101_S4_Technical_replicate_4	SAMP168_EXP101_S4_Technical_replicate_4	FL-RAW-000184	Flomics_1	s3://flomics-raw-data/FL-SEQB-00007/12_S12_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SEQB-00007/12_S12_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
7	Flomics_1_8	SAMP165_Flomics_1	SAMP165_EXP101_S1_Technical_replicate_1	SAMP165_EXP101_S1_Technical_replicate_1	FL-RAW-000193	Flomics_1	s3://flomics-raw-data/FL-SEQB-00007/9_S9_L001_R1_001.fastq.gz	s3://flomics-raw-data/FL-SEQB-00007/9_S9_L001_R2_001.fastq.gz	/mnt/s3fs/flomics-data/FL-cfRNA-meta/Flomics_1	False
